프레임번호,타임스탐프_초,단순분류,정상확률,포트홀확률,신뢰도,CP클래스,CP클래스번호,파일경로
167,8.358350386735214,정상,0.6251,0.3749,0.6251,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000167_8.358s.jpg
168,8.408400389050994,정상,0.6261,0.3739,0.6261,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000168_8.408s.jpg
169,8.458450391366773,정상,0.6203,0.3797,0.6203,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000169_8.458s.jpg
170,8.508500393682553,정상,0.6043,0.3957,0.6043,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000170_8.509s.jpg
171,8.558550395998333,정상,0.6348,0.3652,0.6348,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000171_8.559s.jpg
172,8.608600398314113,정상,0.6280,0.3720,0.6280,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000172_8.609s.jpg
173,8.658650400629892,정상,0.6211,0.3789,0.6211,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000173_8.659s.jpg
174,8.708700402945672,정상,0.6011,0.3989,0.6011,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000174_8.709s.jpg
175,8.758750405261452,정상,0.5745,0.4255,0.5745,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000175_8.759s.jpg
176,8.808800407577232,정상,0.5786,0.4214,0.5786,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000176_8.809s.jpg
177,8.85885040989301,정상,0.5687,0.4313,0.5687,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000177_8.859s.jpg
178,8.90890041220879,정상,0.5858,0.4142,0.5858,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000178_8.909s.jpg
179,8.95895041452457,정상,0.5915,0.4085,0.5915,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000179_8.959s.jpg
180,9.009000416840351,정상,0.5727,0.4273,0.5727,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000180_9.009s.jpg
181,9.05905041915613,정상,0.5033,0.4967,0.5033,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000181_9.059s.jpg
182,9.10910042147191,정상,0.5350,0.4650,0.5350,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000182_9.109s.jpg
183,9.15915042378769,정상,0.4912,0.5088,0.5088,애매한 포트홀,2,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000183_9.159s.jpg
184,9.20920042610347,정상,0.5112,0.4888,0.5112,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000184_9.209s.jpg
185,9.259250428419248,정상,0.5885,0.4115,0.5885,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000185_9.259s.jpg
186,9.309300430735028,정상,0.6019,0.3981,0.6019,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000186_9.309s.jpg
187,9.359350433050809,정상,0.6163,0.3837,0.6163,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000187_9.359s.jpg
188,9.409400435366589,정상,0.6355,0.3645,0.6355,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000188_9.409s.jpg
189,9.459450437682367,정상,0.6320,0.3680,0.6320,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000189_9.459s.jpg
190,9.509500439998147,정상,0.5834,0.4166,0.5834,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000190_9.510s.jpg
191,9.559550442313927,정상,0.5709,0.4291,0.5709,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000191_9.560s.jpg
192,9.609600444629708,정상,0.5741,0.4259,0.5741,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000192_9.610s.jpg
193,9.659650446945486,정상,0.5946,0.4054,0.5946,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000193_9.660s.jpg
194,9.709700449261266,정상,0.5366,0.4634,0.5366,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000194_9.710s.jpg
195,9.759750451577046,정상,0.6040,0.3960,0.6040,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000195_9.760s.jpg
196,9.809800453892827,정상,0.5979,0.4021,0.5979,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000196_9.810s.jpg
197,9.859850456208605,정상,0.5796,0.4204,0.5796,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000197_9.860s.jpg
198,9.909900458524385,정상,0.6111,0.3889,0.6111,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000198_9.910s.jpg
199,9.959950460840165,정상,0.5054,0.4946,0.5054,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000199_9.960s.jpg
200,10.010000463155945,정상,0.4989,0.5011,0.5011,애매한 포트홀,2,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000200_10.010s.jpg
201,10.060050465471724,정상,0.4920,0.5080,0.5080,애매한 포트홀,2,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000201_10.060s.jpg
202,10.110100467787504,정상,0.5430,0.4570,0.5430,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000202_10.110s.jpg
203,10.160150470103284,정상,0.5101,0.4899,0.5101,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000203_10.160s.jpg
204,10.210200472419064,정상,0.5538,0.4462,0.5538,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000204_10.210s.jpg
